file,segment_type,count_A,count_B,diff_B_minus_A,records_A,records_B
context_105081.json,structured,3,3,0,1,1
context_105081.json,root_preamble,1,1,0,1,1
context_105138.json,structured,10,10,0,1,1
context_105138.json,root_preamble,1,1,0,1,1
context_105190.json,structured,4,4,0,1,1
context_105190.json,root_preamble,1,1,0,1,1
context_105205.json,structured,11,11,0,1,1
context_105205.json,root_preamble,1,1,0,1,1
context_105216.json,structured,6,6,0,1,1
context_105216.json,root_preamble,1,1,0,1,1
context_105263.json,structured,8,8,0,1,1
context_105263.json,root_preamble,1,1,0,1,1
context_105264.json,structured,30,30,0,1,1
context_105264.json,root_preamble,1,1,0,1,1
context_105297.json,structured,7,7,0,1,1
context_105297.json,root_preamble,1,1,0,1,1
context_105300.json,structured,7,7,0,1,1
context_105300.json,root_preamble,1,1,0,1,1
context_105341.json,structured,17,17,0,1,1
context_105341.json,root_preamble,1,1,0,1,1
context_105375.json,structured,10,10,0,1,1
context_105375.json,root_preamble,1,1,0,1,1
context_10542.json,unstructured_whole,1,1,0,1,1
context_105423.json,structured,4,4,0,1,1
context_105423.json,root_preamble,1,1,0,1,1
context_105483.json,structured,67,67,0,1,1
context_105483.json,root_preamble,1,1,0,1,1
context_105515.json,structured,30,30,0,1,1
context_105515.json,root_preamble,1,1,0,1,1
context_105570.json,structured,29,29,0,1,1
context_105570.json,root_preamble,1,1,0,1,1
context_105589.json,structured,8,8,0,1,1
context_105589.json,root_preamble,1,1,0,1,1
context_105600.json,structured,22,22,0,1,1
context_105600.json,root_preamble,1,1,0,1,1
context_105603.json,structured,22,22,0,1,1
context_105603.json,root_preamble,1,1,0,1,1
context_105604.json,structured,22,22,0,1,1
context_105604.json,root_preamble,1,1,0,1,1
context_105608.json,structured,23,23,0,1,1
context_105608.json,root_preamble,1,1,0,1,1
context_105634.json,structured,74,74,0,1,1
context_105634.json,root_preamble,1,1,0,1,1
context_105642.json,unstructured_whole,1,1,0,1,1
context_105655.json,structured,24,24,0,1,1
context_105655.json,root_preamble,1,1,0,1,1
context_105724.json,structured,47,47,0,1,1
context_105724.json,root_preamble,1,1,0,1,1
context_105725.json,structured,20,20,0,1,1
context_105725.json,root_preamble,1,1,0,1,1
context_105733.json,structured,23,23,0,1,1
